Name;Tier;Category;Type;Value;Value (dark);Description;Is Alias?
UI / White;Semantic;Color;color;{core.color.grey.0};{core.color.grey.0};;Yes
UI / Black;Semantic;Color;color;{core.color.grey.2200};{core.color.grey.2200};;Yes
UI / Disabled;Semantic;Color;color;{core.color.grey.600};{core.color.grey.1700};;Yes
UI / Border / Standard;Semantic;Color;color;{core.color.black} / 0.44;{core.color.grey.0} / 0.4;;Yes
UI / Border / Hovered;Semantic;Color;color;{core.color.black} / 0.71;{core.color.grey.0} / 0.54;;Yes
UI / Border / Pressed;Semantic;Color;color;{core.color.black} / 0.71;{core.color.grey.0} / 0.94;Use this token for borders in pressed or active state;Yes
UI / Border / Disabled;Semantic;Color;color;{core.color.black} / 0.14;{core.color.grey.0} / 0.21;;Yes
UI / State Fill / Standard;Semantic;Color;color;{core.color.black} / 0;{core.color.white} / 0;For outlined and ghost elements: The standard fill is invisible / 0% opacity;Yes
UI / State Fill / Hovered;Semantic;Color;color;{core.color.black} / 0.07;{core.color.white} / 0.14;For outlined and ghost elements: When hovered a light, transparent fill is applied;Yes
UI / State Fill / Pressed;Semantic;Color;color;{core.color.black} / 0.21;{core.color.white} / 0.27;For outlined and ghost elements: When pressed or active a medium transparent fill is applied;Yes
UI / State Fill / Hovered Inverted;Semantic;Color;color;{core.color.white} / 0.14;{core.color.black} / 0.07;For outlined and ghost elements: When hovered a light, transparent fill is applied;Yes
UI / State Fill / Pressed Inverted;Semantic;Color;color;{core.color.white} / 0.21;{core.color.black} / 0.21;For outlined and ghost elements: When pressed or active a medium transparent fill is applied;Yes
Functional / Focus / Standard;Semantic;Color;color;{core.color.blue.500};{core.color.blue.200};;Yes
Functional / Focus / Inverted;Semantic;Color;color;{core.color.blue.200};{core.color.blue.500};;Yes
Functional / Focus / On Dark Background;Semantic;Color;color;{core.color.blue.200};;;Yes
Functional / Focus / On Light Background;Semantic;Color;color;{core.color.blue.500};;;Yes
Functional / Informational / Standard;Semantic;Color;color;{core.color.blue.500};{core.color.blue.500};;Yes
Functional / Informational / Hovered;Semantic;Color;color;{core.color.blue.600};{core.color.blue.400};;Yes
Functional / Informational / Pressed;Semantic;Color;color;{core.color.blue.700};{core.color.blue.300};;Yes
Functional / Informational / Subtle;Semantic;Color;color;{core.color.blue.tint};{core.color.blue.shade};;Yes
Functional / Success / Standard;Semantic;Color;color;{core.color.green.500};{core.color.green.500};;Yes
Functional / Success / Hovered;Semantic;Color;color;{core.color.green.600};{core.color.green.400};;Yes
