Name;Tier;Category;Type;Value;Value (dark);Description;Is Alias?
Composition / Space 03;Semantic;Spacing;dimension;{core.dimension.500.value};;;Yes
Composition / Space 04;Semantic;Spacing;dimension;{core.dimension.1000.value};;;Yes
Composition / Space 05;Semantic;Spacing;dimension;{core.dimension.1500.value};;;Yes
Composition / Space 06;Semantic;Spacing;dimension;{core.dimension.2000.value};;;Yes
Composition / Space 07;Semantic;Spacing;dimension;{core.dimension.2250.value};;;Yes
Composition / Space 08;Semantic;Spacing;dimension;{core.dimension.2500.value};;;Yes
Composition / Space 09;Semantic;Spacing;dimension;{core.dimension.2750.value};;;Yes
Composition / Space 10;Semantic;Spacing;dimension;{core.dimension.3000.value};;;Yes
Composition / Space 11;Semantic;Spacing;dimension;{core.dimension.3125.value};;;Yes
Composition / Space 12;Semantic;Spacing;dimension;{core.dimension.3250.value};;;Yes
Composition / Space 13;Semantic;Spacing;dimension;{core.dimension.3375.value};;;Yes
Composition / Space 14;Semantic;Spacing;dimension;{core.dimension.3500.value};;;Yes
Composition / Space 15;Semantic;Spacing;dimension;{core.dimension.3625.value};;;Yes
Composition / Space 16;Semantic;Spacing;dimension;{core.dimension.3750.value};;;Yes
Composition / Space 17;Semantic;Spacing;dimension;{core.dimension.4000.value};;;Yes
Composition / Space 18;Semantic;Spacing;dimension;{core.dimension.4125.value};;;Yes
Composition / Space 19;Semantic;Spacing;dimension;{core.dimension.4250.value};;;Yes
Composition / Space 20;Semantic;Spacing;dimension;{core.dimension.4375.value};;;Yes
Composition / Space 21;Semantic;Spacing;dimension;{core.dimension.4500.value};;;Yes
Baseline / Space 00;Semantic;Spacing;dimension;{core.dimension.none.value};;;Yes
Baseline / Space 01;Semantic;Spacing;dimension;{core.dimension.500.value};;;Yes
Baseline / Space 02;Semantic;Spacing;dimension;{core.dimension.1000.value};;;Yes
Baseline / Space 03;Semantic;Spacing;dimension;{core.dimension.1500.value};;;Yes
Baseline / Space 04;Semantic;Spacing;dimension;{core.dimension.2000.value};;;Yes
Baseline / Space 05;Semantic;Spacing;dimension;{core.dimension.2500.value};;;Yes
Baseline / Space 06;Semantic;Spacing;dimension;{core.dimension.3000.value};;;Yes
Baseline / Space 07;Semantic;Spacing;dimension;{core.dimension.3500.value};;;Yes
Baseline / Space 08;Semantic;Spacing;dimension;{core.dimension.4000.value};;;Yes
Baseline / Space 09;Semantic;Spacing;dimension;{core.dimension.4500.value};;;Yes
Baseline / Space 10;Semantic;Spacing;dimension;{core.dimension.5000.value};;;Yes
Baseline / Space 11;Semantic;Spacing;dimension;{core.dimension.5500.value};;;Yes
Baseline / Space 12;Semantic;Spacing;dimension;{core.dimension.6000.value};;;Yes
Baseline / Space 13;Semantic;Spacing;dimension;{core.dimension.6500.value};;;Yes
Baseline / Space 14;Semantic;Spacing;dimension;{core.dimension.7000.value};;;Yes
Baseline / Space 15;Semantic;Spacing;dimension;{core.dimension.8000.value};;;Yes
Badge;Semantic;Text Style;textStyle;{typography.font-family.sans} {typography.font-size.badge} {typography.font-weight.regular} {core.typography.line-spacing.xs} {typography.letter-spacing.standard};;;Yes
Small;Semantic;Text Style;textStyle;{typography.font-family.sans} {typography.font-size.small} {typography.font-weight.medium} {core.typography.line-spacing.md} {typography.letter-spacing.standard};;;Yes
Small Bold;Semantic;Text Style;textStyle;{typography.font-family.sans} {typography.font-size.small} {typography.font-weight.bold} {core.typography.line-spacing.md} {typography.letter-spacing.standard};;;Yes
Caption;Semantic;Text Style;textStyle;{typography.font-family.sans} {typography.font-size.caption} {typography.font-weight.regular} {typography.line-spacing.standard} {typography.letter-spacing.standard};;;Yes
Caption Bold;Semantic;Text Style;textStyle;{typography.font-family.sans} {typography.font-size.caption} {typography.font-weight.bold} {typography.line-spacing.standard} {typography.letter-spacing.standard};;;Yes
Body;Semantic;Text Style;textStyle;{typography.font-family.sans} {typography.font-size.body} {typography.font-weight.regular} {typography.line-spacing.standard} {typography.letter-spacing.standard};;;Yes
Body Bold;Semantic;Text Style;textStyle;{typography.font-family.sans} {typography.font-size.body} {typography.font-weight.bold} {typography.line-spacing.standard} {typography.letter-spacing.standard};;;Yes
UI;Semantic;Text Style;textStyle;{typography.font-family.sans} {typography.font-size.body} {typography.font-weight.medium} {typography.line-spacing.none} {typography.letter-spacing.standard};;;Yes
UI Bold;Semantic;Text Style;textStyle;{typography.font-family.sans} {typography.font-size.body} {typography.font-weight.bold} {typography.line-spacing.none} {typography.letter-spacing.standard};;;Yes
Lead Text;Semantic;Text Style;textStyle;{typography.font-family.sans} {typography.font-size.callout} {typography.font-weight.regular} {typography.line-spacing.standard} {typography.letter-spacing.standard};;;Yes
Heading 6;Semantic;Text Style;textStyle;{typography.font-family.sans} {typography.font-size.body} {typography.font-weight.bold} {typography.line-spacing.standard} {typography.letter-spacing.standard};;;Yes
Heading 5;Semantic;Text Style;textStyle;{typography.font-family.sans} {typography.font-size.callout} {typography.font-weight.extra-bold} {typography.line-spacing.standard} {typography.letter-spacing.standard};;;Yes
Heading 4;Semantic;Text Style;textStyle;{typography.font-family.sans} {typography.font-size.headline-3} {typography.font-weight.extra-bold} {core.typography.line-spacing.md} {typography.letter-spacing.standard};;;Yes
Heading 3;Semantic;Text Style;textStyle;{typography.font-family.sans} {typography.font-size.headline-2} {typography.font-weight.extra-bold} {typography.line-spacing.tight} {typography.letter-spacing.standard};;;Yes
Heading 2;Semantic;Text Style;textStyle;{typography.font-family.sans} {typography.font-size.headline-1} {typography.font-weight.extra-bold} {typography.line-spacing.extra-tight} {typography.letter-spacing.standard};;;Yes
Heading 1;Semantic;Text Style;textStyle;{typography.font-family.sans} {typography.font-size.title-3} {typography.font-weight.extra-bold} {core.typography.line-spacing.xs} {typography.letter-spacing.standard};;;Yes
Title 2;Semantic;Text Style;textStyle;{typography.font-family.sans} {typography.font-size.title-2} {typography.font-weight.extra-bold} {typography.line-spacing.extra-tight} {typography.letter-spacing.standard};;;Yes
Title 1;Semantic;Text Style;textStyle;{typography.font-family.sans} {typography.font-size.title-1} {typography.font-weight.extra-bold} {typography.line-spacing.extra-tight} {typography.letter-spacing.standard};;;Yes
Font Size / Badge;Semantic;Typography;dimension;{core.typography.font-scale.1.value};;;Yes
Font Size / Small;Semantic;Typography;dimension;{core.typography.font-scale.2.value};;;Yes
Font Size / Caption;Semantic;Typography;dimension;{core.typography.font-scale.3.value};;;Yes
Font Size / Body;Semantic;Typography;dimension;{core.typography.font-scale.4.value};;;Yes
Font Size / Callout;Semantic;Typography;dimension;{core.typography.font-scale.6.value};;;Yes
Font Size / Headline 3;Semantic;Typography;dimension;{core.typography.font-scale.7.value};;;Yes
Font Size / Headline 2;Semantic;Typography;dimension;{core.typography.font-scale.9.value};;;Yes
Font Size / Headline 1;Semantic;Typography;dimension;{core.typography.font-scale.11.value};;;Yes
Font Size / Title 3;Semantic;Typography;dimension;{core.typography.font-scale.13.value};;;Yes
Font Size / Title 2;Semantic;Typography;dimension;{core.typography.font-scale.15.value};;;Yes
Font Size / Title 1;Semantic;Typography;dimension;{core.typography.font-scale.16.value};;;Yes
Font Family / Sans;Semantic;Typography;font;{core.typography.font-family.sans.value};;;Yes
Font Family / Mono;Semantic;Typography;font;{core.typography.font-family.mono.value};;;Yes
Font Weight / Thin;Semantic;Typography;number;{core.typography.font-weight.thin.value};;;Yes
Font Weight / Regular;Semantic;Typography;number;{core.typography.font-weight.regular.value};;;Yes
Font Weight / Medium;Semantic;Typography;number;{core.typography.font-weight.medium.value};;;Yes
Font Weight / Bold;Semantic;Typography;number;{core.typography.font-weight.bold.value};;;Yes
Font Weight / Extra Bold;Semantic;Typography;number;{core.typography.font-weight.extra-bold.value};;;Yes
Font Weight / Ultra;Semantic;Typography;number;{core.typography.font-weight.ultra.value};;;Yes
Line Spacing / None;Semantic;Typography;number;{core.typography.line-spacing.none};;Use for single line in ui elements;Yes
Line Spacing / Extra Tight;Semantic;Typography;number;{core.typography.line-spacing.xxs};;Use for large titles like H1 or H2;Yes
Line Spacing / Tight;Semantic;Typography;number;{core.typography.line-spacing.sm};;Use for large headlines like H3, etc.;Yes
Line Spacing / Moderate;Semantic;Typography;number;{core.typography.line-spacing.md};;;Yes
Line Spacing / Standard;Semantic;Typography;number;{core.typography.line-spacing.lg};;Use for most text elements like normal copy, etc.;Yes
Line Spacing / Loose;Semantic;Typography;number;{core.typography.line-spacing.xl};;Use for multi line text passages with long lines.;Yes
Letter Spacing / Standard;Semantic;Typography;number;{core.typography.letter-spacing.none};;;Yes
